trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
16,0.5,0.5,-7.5,-7.5,-120.0,-0.3227486121839514,3,30,15,0.5
16,0.625,0.5,-9.375,15.0,-150.0,-0.28846153846153844,2,50,15,0.3
16,0.1875,0.46153846153846156,-4.375,-10.0,-70.0,-0.36176797588519133,7,10,20,2.0
16,0.125,0.42857142857142855,-2.5,-5.0,-40.0,-0.36596252735569995,7,5,15,3.0
16,0.125,0.42857142857142855,-5.0,-10.0,-80.0,-0.36596252735569995,10,10,30,3.0
16,0.0625,0.4,-2.8125,-5.0,-45.0,-0.32142857142857145,14,5,30,6.0
16,0.375,0.4,-5.625,-15.0,-90.0,-0.45,3,15,10,0.6666666666666666
16,0.4375,0.3888888888888889,-6.875,-20.0,-110.0,-0.44728753343474437,3,20,10,0.5
16,0.1875,0.34615384615384615,-5.3125,-10.0,-85.0,-0.527147622004136,7,10,15,1.5
16,0.5,0.3333333333333333,-10.0,-10.0,-160.0,-0.4841229182759271,3,30,10,0.3333333333333333
16,0.625,0.3333333333333333,-12.5,10.0,-200.0,-0.4166666666666667,2,50,10,0.2
16,0.8125,0.28888888888888886,-10.0,5.0,-160.0,-0.31008683647302115,1,75,5,0.06666666666666667
16,0.125,0.2857142857142857,-3.125,-5.0,-50.0,-0.6099375455928333,7,5,10,2.0
16,0.1875,0.23076923076923078,-6.25,-10.0,-100.0,-0.7752170911825529,7,10,10,1.0
16,0.375,0.2,-7.5,-15.0,-120.0,-0.75,3,15,5,0.3333333333333333
16,0.4375,0.19444444444444445,-9.0625,-20.0,-145.0,-0.7075275528876865,3,20,5,0.25
16,0.5,0.16666666666666666,-12.5,-12.5,-200.0,-0.6916041689656102,3,30,5,0.16666666666666666
16,0.625,0.16666666666666666,-15.625,5.0,-250.0,-0.5681818181818182,2,50,5,0.1
16,0.125,0.14285714285714285,-3.75,-5.0,-60.0,-1.0978875820671,7,5,5,1.0
16,0.1875,0.11538461538461539,-7.1875,-10.0,-115.0,-1.1886662064799145,7,10,5,0.5
16,0.0,0.0,-5.0,-5.0,-80.0,0.0,16,5,200,40.0
16,0.0,0.0,-10.0,-10.0,-160.0,0.0,16,10,200,20.0
16,0.0,0.0,-15.0,-15.0,-240.0,0.0,16,15,200,13.333333333333334
