hypothesis,alert_timestamp_utc,alert_price,entry_bar_index,entry_price,direction_label,trade_date_et,day_of_week,time_bucket_30m,trade_pnl_ticks,mfe_ticks,mae_ticks,success_flag,prior_30m_absorptions,near_session_level_10t,nearest_session_level_distance_ticks,es_confluence_30m,nearest_es_absorption_minutes,entry_delay_bars,stop_loss_ticks,take_profit_ticks,entry_timestamp_utc,exit_timestamp_utc,exit_price,direction,pnl_ticks,outcome,bars_held
session_level_sr,2025-01-02 14:50:00+00:00,21320.5,,21290.5,,2025-01-02,Thursday,09:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 14:52:00+00:00,21333.0,,21332.75,,2025-01-02,Thursday,09:30,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 15:05:00+00:00,21424.5,,21415.25,,2025-01-02,Thursday,10:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 15:20:00+00:00,21320.5,,21323.25,,2025-01-02,Thursday,10:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 15:20:00+00:00,21333.0,,21323.25,,2025-01-02,Thursday,10:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 15:52:00+00:00,21320.5,,21304.75,,2025-01-02,Thursday,10:30,-10.0,,,,,,,,,,,,,,,,,,
absorption_baseline,2025-01-02 16:03:51+00:00,21222.0,1024.0,21203.5,short_reversal,2025-01-02,Thursday,11:00,-184.0,69.0,-243.0,True,0.0,False,394.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-01-02 16:03:51+00:00,21222.0,,21210.0,,,,,,55.0,-590.0,,,,,,,1.0,40.0,40.0,2025-01-02 16:05:00+00:00,2025-01-02 16:05:00+00:00,21200.0,short_reversal,40.0,take_profit,1.0
session_level_sr,2025-01-02 16:39:00+00:00,21320.5,,21303.0,,2025-01-02,Thursday,11:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 16:48:00+00:00,21333.0,,21340.25,,2025-01-02,Thursday,11:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 16:53:00+00:00,21320.5,,21328.75,,2025-01-02,Thursday,11:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 17:04:00+00:00,21333.0,,21336.0,,2025-01-02,Thursday,12:00,10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 17:13:00+00:00,21320.5,,21339.5,,2025-01-02,Thursday,12:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 17:30:00+00:00,21121.75,,21126.0,,2025-01-02,Thursday,12:30,-10.0,,,,,,,,,,,,,,,,,,
absorption_baseline,2025-01-02 18:50:19+00:00,21018.75,1191.0,21011.25,short_reversal,2025-01-02,Thursday,13:30,-95.0,94.0,-172.0,True,0.0,False,412.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-01-02 18:50:19+00:00,21018.75,,21001.25,,,,,,54.0,-577.0,,,,,,,1.0,40.0,40.0,2025-01-02 18:52:00+00:00,2025-01-02 18:52:00+00:00,21011.25,short_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-01-02 18:52:13+00:00,21014.0,1193.0,21003.75,short_reversal,2025-01-02,Thursday,13:30,-214.0,64.0,-255.0,True,1.0,False,431.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-01-02 18:52:13+00:00,21014.0,,20997.75,,,,,,40.0,-591.0,,,,,,,1.0,40.0,40.0,2025-01-02 18:54:00+00:00,2025-01-02 18:54:00+00:00,20987.75,short_reversal,40.0,take_profit,1.0
session_level_sr,2025-01-02 19:27:00+00:00,21121.75,,21116.25,,2025-01-02,Thursday,14:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 19:48:00+00:00,21121.75,,21131.0,,2025-01-02,Thursday,14:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 20:04:00+00:00,21121.75,,21129.0,,2025-01-02,Thursday,15:00,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-02 20:37:00+00:00,21121.75,,21134.75,,2025-01-02,Thursday,15:30,-10.0,,,,,,,,,,,,,,,,,,
session_level_sr,2025-01-03 15:20:00+00:00,21288.0,,21280.5,,2025-01-03,Friday,10:00,-10.0,,,,,,,,,,,,,,,,,,
absorption_baseline,2025-01-03 15:37:06+00:00,21371.75,2377.0,21348.25,short_reversal,2025-01-03,Friday,10:30,-113.0,67.0,-201.0,True,0.0,False,335.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-01-03 15:37:06+00:00,21371.75,,21354.5,,,,,,69.0,-455.0,,,,,,,1.0,40.0,40.0,2025-01-03 15:39:00+00:00,2025-01-03 15:39:00+00:00,21344.5,short_reversal,40.0,take_profit,1.0
absorption_baseline,2025-01-03 17:50:28+00:00,21464.5,2510.0,21464.75,short_reversal,2025-01-03,Friday,12:30,50.0,60.0,-42.0,True,0.0,False,706.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-01-03 17:50:28+00:00,21464.5,,21465.25,,,,,,62.0,-264.0,,,,,,,1.0,40.0,40.0,2025-01-03 17:52:00+00:00,2025-01-03 18:00:00+00:00,21475.25,short_reversal,-40.0,stop_loss,9.0
absorption_baseline,2025-01-06 15:29:26+00:00,21885.0,3749.0,21875.5,short_reversal,2025-01-06,Monday,10:30,42.0,127.0,-22.0,True,0.0,False,498.0,False,,,,,,,,,,,
