trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,r_multiple
70,0.7,1.578397212543554,7.114285714285714,13.0,498.0,0.1829639956195831,3,1.0,0.5,51.142857142857146,25.585714285714285,0.5
70,0.8,1.5413612565445025,7.385714285714286,17.5,517.0,0.15871487972753112,2,1.5,0.5,76.71428571428571,25.585714285714285,0.3333333333333333
70,0.4142857142857143,1.3046251993620415,8.185714285714285,-18.5,573.0,0.10062287603026839,8,1.0,1.5,51.142857142857146,76.71428571428571,1.5
70,0.5,1.2808308091735179,9.271428571428572,4.5,649.0,0.09841407451516541,5,1.5,1.5,76.71428571428571,76.71428571428571,1.0
70,0.8142857142857143,1.269949066213922,4.542857142857143,19.0,318.0,0.08118712694320056,2,2.0,0.5,102.3,25.585714285714285,0.25
70,0.5428571428571428,1.2595087163232963,9.357142857142858,28.0,655.0,0.09101610587955483,5,2.0,1.5,102.3,76.71428571428571,0.75
70,0.2571428571428571,1.2462462462462462,4.685714285714286,-11.0,328.0,0.07881349827829509,8,0.5,2.0,25.585714285714285,102.3,4.0
70,0.5142857142857142,1.2277535780958306,5.228571428571429,12.5,366.0,0.0823896060538678,7,1.0,1.0,51.142857142857146,51.142857142857146,1.0
70,0.6571428571428571,1.188252286952335,5.585714285714285,24.0,391.0,0.06680446210583696,2,2.0,1.0,102.3,51.142857142857146,0.5
70,0.6,1.1596938775510204,4.4714285714285715,20.5,313.0,0.059580802083881265,2,1.5,1.0,76.71428571428571,51.142857142857146,0.6666666666666666
70,0.2857142857142857,1.1433046202036021,2.6142857142857143,-11.0,183.0,0.05018060043703014,8,0.5,1.5,25.585714285714285,76.71428571428571,3.0
70,0.4857142857142857,1.0033557046979866,0.04285714285714286,-7.0,3.0,0.0013452884021244783,4,0.5,0.5,25.585714285714285,25.585714285714285,1.0
70,0.34285714285714286,0.9303849303849304,-1.2142857142857142,-10.5,-85.0,-0.029027006268413043,7,0.5,1.0,25.585714285714285,51.142857142857146,2.0
70,0.32857142857142857,0.9087301587301587,-2.9571428571428573,-21.0,-207.0,-0.039049505854713194,8,1.0,2.0,51.142857142857146,102.3,2.0
70,0.42857142857142855,0.8190240889437924,-8.371428571428572,-32.5,-586.0,-0.08166723034157328,7,2.0,2.0,102.3,102.3,1.0
70,0.37142857142857144,0.7477506426735219,-11.214285714285714,-29.5,-785.0,-0.12107826831620384,7,1.5,2.0,76.71428571428571,102.3,1.3333333333333333
