trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,trigger_ticks,trail_ticks
70,0.24285714285714285,1.558490566037736,4.228571428571429,-10.0,296.0,0.15640038279678398,10,30,10
70,0.32857142857142857,1.5148936170212766,3.4571428571428573,-10.0,242.0,0.14573427045204354,8,10,10
70,0.4,1.5076923076923077,4.242857142857143,-15.0,297.0,0.15834702212394597,7,10,15
70,0.34285714285714286,1.5028985507246377,4.957142857142857,-15.0,347.0,0.16404202799987522,10,30,15
70,0.2857142857142857,1.426,3.0428571428571427,-10.0,213.0,0.12692171539541736,10,20,10
70,0.37142857142857144,1.3651515151515152,3.442857142857143,-15.0,241.0,0.12571625292295466,10,20,15
70,0.35714285714285715,1.3,3.0,-10.0,210.0,0.10337971015546209,8,10,20
70,0.4,1.255952380952381,3.0714285714285716,-20.0,215.0,0.09805618308858262,8,30,20
70,0.4,1.21125,2.414285714285714,-20.0,169.0,0.08084087133999643,8,20,20
