family,trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,n_bars,trigger_ticks,trail_ticks
fixed,70.0,0.7857142857142857,1.2910798122065728,5.314285714285714,30.0,372.0,0.1082967041306099,2.0,100.0,30.0,0.3,,,,,,,
atr,70.0,0.5428571428571428,1.2595087163232963,9.357142857142858,28.0,655.0,0.09101610587955483,5.0,,,0.75,2.0,1.5,102.3,76.71428571428571,,,
time,70.0,0.5,1.1595483554246442,4.642857142857143,-0.5,325.0,0.047927627554015126,4.0,,,,,,,,3.0,,
trailing,70.0,0.34285714285714286,1.5028985507246377,4.957142857142857,-15.0,347.0,0.16404202799987522,10.0,,,,,,,,,30.0,15.0
