subset,signals,best_family,expectancy_ticks,profit_factor,win_rate,max_consecutive_losses
all_absorption,901,trailing,3.7957824639289677,1.4913793103448276,0.22752497225305215,20.0
type_a,58,trailing,18.637931034482758,2.8016666666666667,0.4827586206896552,6.0
type_b,45,fixed,18.22222222222222,1.4739884393063585,0.4444444444444444,4.0
type_c,478,trailing,2.4476987447698746,1.3,0.18410041841004185,20.0
strength_ge_0_10,70,atr,9.357142857142858,1.2595087163232963,0.5428571428571428,5.0
type_b_strength_ge_0_10,16,atr,53.8125,3.0598086124401913,0.6875,2.0
