signal_id,category,primary_window,n_1b,n_5b,n_10b,n_15b,n_30b,wr_1b,wr_5b,wr_10b,wr_15b,wr_30b,avg_1b,avg_5b,avg_10b,avg_15b,avg_30b,sharpe_1b,sharpe_5b,sharpe_10b,sharpe_15b,sharpe_30b,tier_avg_5b_QUIET,tier_avg_5b_TYPE_A,tier_avg_5b_TYPE_B,tier_avg_5b_TYPE_C,tier_n_5b_QUIET,tier_n_5b_TYPE_A,tier_n_5b_TYPE_B,tier_n_5b_TYPE_C,tier_sharpe_5b_QUIET,tier_sharpe_5b_TYPE_A,tier_sharpe_5b_TYPE_B,tier_sharpe_5b_TYPE_C,tier_wr_5b_QUIET,tier_wr_5b_TYPE_A,tier_wr_5b_TYPE_B,tier_wr_5b_TYPE_C
ABS_04,absorption,5,41,41,41,41,41,0.6097560975609756,0.5365853658536586,0.6341463414634146,0.5853658536585366,0.5365853658536586,2.292682926829268,199.78048780487805,202.90243902439025,172.2439024390244,127.41463414634147,0.03993553201629725,0.3691513390820115,0.3432425998244713,0.2958875729399474,0.19423463561194185,-43.666666666666664,-199.71428571428572,347.375,277.46666666666664,3.0,7.0,16.0,15.0,-2.4867939488715467,-1.1673961617369764,0.5177559352904041,0.5941663296412162,0.0,0.14285714285714285,0.6875,0.6666666666666666
VOLP_06,volume_profile,5,32,32,32,32,32,0.5625,0.5625,0.59375,0.59375,0.59375,108.71875,104.15625,152.53125,192.9375,101.875,0.18423347060491774,0.17184381535039914,0.22765805883971874,0.26249888026203166,0.2024840106125215,,31.0,154.21052631578948,,,13.0,19.0,,,0.07700427635344287,0.21423557831325518,,,0.6153846153846154,0.5263157894736842,
AUCT_03,auction,5,46,46,46,46,46,0.5217391304347826,0.5434782608695652,0.4782608695652174,0.45652173913043476,0.5434782608695652,-0.10869565217391304,8.434782608695652,3.847826086956522,6.369565217391305,35.30434782608695,-0.0027562438156891835,0.12753996825789551,0.03747337718952605,0.06486282208092653,0.16382463362816443,7.906976744186046,,,16.0,43.0,,,3.0,0.12360845355650973,,,0.14375381675661894,0.5348837209302325,,,0.6666666666666666
TRAP_04,trapped,5,9967,9964,9959,9959,9959,0.4828451043338684,0.49046950240770465,0.4896669341894061,0.4897672552166934,0.49518459069020865,-0.0990267884017257,4.2558209554395825,1.696154232352646,3.184054623958229,3.075007530876594,-0.0007073568339226784,0.016214146258398957,0.004912279294330858,0.008256547484180865,0.006452506398194421,-0.8449096098953378,-6.908366533864542,44.85,6.3224472922695325,4204.0,502.0,420.0,4838.0,-0.006158140241677005,-0.01451669789147795,0.09463013516545916,0.022018890574270183,0.48882017126546146,0.4970178926441352,0.5106888361045131,0.48946280991735536
EXH_03,exhaustion,5,62715,62714,62713,62710,62699,0.4917245997831494,0.5038267746667517,0.5005899610944575,0.5002870081000064,0.5014828751833663,0.3354859284062824,1.1324903530312211,0.16290083395787158,1.216408866209536,3.297548605240913,0.005369843773658023,0.008219422498863246,0.0008428322394369204,0.005152542855145566,0.009833175235061768,1.1658622469113318,6.51063829787234,7.532493907392364,0.3454833000715442,32943.0,752.0,2462.0,26557.0,0.012076185951147447,0.01678711697255937,0.033745963561125934,0.0022120315319905316,0.5075736878851349,0.49667994687915007,0.5020308692120228,0.49954815874689357
DELT_04,delta,5,20670,20669,20668,20667,20666,0.4934932997919791,0.5016206279328528,0.502539790044023,0.5049102607517778,0.5063615693483624,0.31204644412191584,0.8046833422032996,-0.5159667118250435,0.7804712827212464,3.313897222491048,0.00502979629722867,0.006102529342279875,-0.002755848301693141,0.003364548098221679,0.010145621149680402,0.9090223674290022,28.18435754189944,0.2559322033898305,0.0734647745824438,11937.0,179.0,590.0,7963.0,0.010166569100781881,0.06318220649219834,0.0011237046975798215,0.0004660710460862688,0.5054033676803217,0.4777777777777778,0.5033898305084745,0.4963586137619287
EXH_01,exhaustion,5,52439,52439,52438,52436,52425,0.48995976277198267,0.5036137226110338,0.4979118594938881,0.49793092927019966,0.5016495356509468,0.09018097217719637,0.6211788935715784,-1.0834509325298447,-0.6951331146540545,-1.6368144969003338,0.0016130753539515966,0.004689680746166941,-0.005671288751679313,-0.0029536317454605084,-0.004813378004169358,1.2761614006694375,-8.703508771929824,3.4005037783375314,-0.1722694629246156,27187.0,570.0,1985.0,22697.0,0.012973546105514185,-0.026225534051143366,0.01618402732053692,-0.001153044005136381,0.5081840585573988,0.49473684210526314,0.5017632241813602,0.49852403401330575
EXH_04,exhaustion,5,466,466,466,466,466,0.5064377682403434,0.48283261802575106,0.5042918454935622,0.4892703862660944,0.463519313304721,1.6609442060085837,0.5600858369098712,6.266094420600858,-7.317596566523605,13.665236051502147,0.034794948327145546,0.005662216846953668,0.041285250129227374,-0.03429514091551202,0.03861443800327096,-1.3436532507739938,48.5,37.142857142857146,1.8257575757575757,323.0,4.0,7.0,132.0,-0.014524135176275127,1.0647133218999962,0.22873942586512008,0.016471090059034688,0.49226006191950467,1.0,0.42857142857142855,0.44696969696969696
EXH_05,exhaustion,5,27134,27134,27133,27132,27128,0.49476671334856637,0.4960197538144026,0.4972727942802388,0.5008107908896587,0.5029483305078499,0.13322768482346872,0.5596299845212648,-0.03471787122691925,1.4277605779153766,2.3809348274845177,0.0022577049351208993,0.004131314998880502,-0.0001796917356876922,0.005921670609400025,0.007002312158432059,2.7339717214034565,-5.919694072657744,1.212639405204461,-1.6719892427935121,13367.0,523.0,1345.0,11899.0,0.027238367547782274,-0.019422568613287682,0.005904378240026701,-0.011356610123973713,0.5010847609785292,0.4780114722753346,0.49814126394052044,0.49088158668795695
DELT_01,delta,5,87423,87419,87414,87411,87404,0.4845808931185944,0.4971632503660322,0.49747209004392384,0.4967285871156662,0.49622529282576866,-0.4291891149926221,0.22305219689083608,0.1907245978904981,0.43778243012893114,-0.48215184659740973,-0.006145281640945082,0.0014790840545741942,0.000903164414013906,0.0016982059570200124,-0.0013445320493014146,0.1533642735728337,-5.71816037735849,0.9032602886157135,0.45230512352741103,52359.0,848.0,1871.0,32341.0,0.00154252940455127,-0.013019041767404415,0.003097777982839155,0.002400583236581425,0.49777497660383124,0.4817432273262662,0.4813034188034188,0.4974956715310413
