category,signals,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
exhaustion,5,152489,0.4924092885388454,0.1614673845326548,0.002682000174778762,152488,0.5016919364146687,0.769752373957295,0.005687166853186196,152484,0.49914745153589885,-0.10530940951181764,-0.0005467706750385828,152478,0.4996720838416034,0.5472133684859455,0.002307893012201728,152449,0.5017022086074687,1.270536376099548,0.0037536955201773127
delta,5,138871,0.48733716902737073,-0.30738599131568145,-0.00461234517825946,138864,0.4971986980066828,-0.09898893881783616,-0.0006804864983242636,138855,0.4994994778726009,-0.27904648734291165,-0.0013695479378446934,138849,0.49960748727034404,0.11305807027778378,0.0004540457247262969,138841,0.49826780273838417,0.028874756015874272,8.30302205459343e-05
trapped,3,184715,0.48949462685759143,-0.0510245513358417,-0.0007343495124083172,184706,0.49107771268935496,-0.39066408237956535,-0.0026317039091697386,184695,0.4914697203497658,-0.8565256233249411,-0.0041158542562680514,184689,0.4902836660548273,-1.1429754885239511,-0.004532374164546456,184667,0.48889081427650855,-2.1124781363210534,-0.006039835764588428
auction,5,418467,0.49596025493049634,0.02092877096640834,0.0003508960507027345,418455,0.49486802643056005,-0.49550847761408034,-0.003676981953145928,418440,0.49660883280757095,-0.45091530446420036,-0.002371382599105996,418424,0.49693373229069077,-0.5628094946752576,-0.00241112077834012,418374,0.49804242137417715,-0.21985113797702535,-0.0006655844002180896
imbalance,9,737661,0.4869838584390391,-0.4337385330117764,-0.0069238899818071945,737639,0.49441393418731927,-0.5023229520131121,-0.0035828470095452085,737611,0.49638088369072586,-0.48064087981334336,-0.0024251255639038934,737586,0.4964207563592584,-0.49058957192788366,-0.0020194635830171202,737484,0.49573414474076727,-1.2645725195394069,-0.0036858711823520404
other,2,119493,0.48373544893843157,-0.5614387453658374,-0.009006425090310173,119489,0.4906895195373633,-0.8214731063110412,-0.005901408896476378,119485,0.49301585973134704,-1.1360505502782776,-0.0057659110062603745,119480,0.49258453297623034,-0.7532390358218949,-0.0031207402791413753,119467,0.49088869729716156,-1.827550704378615,-0.005361072175502389
volume_profile,2,1589,0.4644430459408433,-5.259911894273127,-0.013819094173570717,1588,0.47103274559193953,-1.2707808564231737,-0.0028824040164597622,1588,0.4792191435768262,-2.047229219143577,-0.003987826692324453,1588,0.47795969773299746,3.8595717884130982,0.006977575425290627,1588,0.4899244332493703,9.670025188916876,0.015674619062297366
poc,1,1884,0.49203821656050956,-0.32961783439490444,-0.007706498780557036,1884,0.49416135881104034,-1.5599787685774946,-0.015797747181135562,1884,0.4718683651804671,-7.0217622080679405,-0.04723847321941404,1884,0.47983014861995754,-11.467091295116774,-0.05940487842718425,1884,0.4819532908704883,-10.671974522292993,-0.039097943789633875
absorption,3,901,0.4816870144284129,3.6847946725860155,0.027724221557870632,901,0.462819089900111,-3.2408435072142066,-0.010691167280573947,899,0.4738598442714127,-4.290322580645161,-0.011161604654715456,899,0.4638487208008899,-16.659621802002224,-0.03796285437374061,899,0.4560622914349277,-23.116796440489434,-0.04170393957155045
