scenario,bars,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
type_a_any,985,984,0.4766260162601626,-10.670731707317072,-0.031617601589587235,984,0.4725609756097561,-23.586382113821138,-0.0589124637954718,984,0.46747967479674796,-26.784552845528456,-0.05322702797871685,984,0.4766260162601626,-18.071138211382113,-0.03234596578961844,984,0.49390243902439024,-14.538617886178862,-0.02247168898099687
type_a_2plus_categories,985,984,0.4766260162601626,-10.670731707317072,-0.031617601589587235,984,0.4725609756097561,-23.586382113821138,-0.0589124637954718,984,0.46747967479674796,-26.784552845528456,-0.05322702797871685,984,0.4766260162601626,-18.071138211382113,-0.03234596578961844,984,0.49390243902439024,-14.538617886178862,-0.02247168898099687
type_a_plus_absorption_any,57,57,0.5614035087719298,0.7543859649122807,0.004217933668733419,57,0.5263157894736842,-29.63157894736842,-0.09295512011712316,57,0.38596491228070173,-35.24561403508772,-0.06897747307123273,57,0.5263157894736842,2.508771929824561,0.004621834932521382,57,0.5263157894736842,39.526315789473685,0.05987979549882756
type_a_plus_absorption_type_a,57,57,0.5614035087719298,0.7543859649122807,0.004217933668733419,57,0.5263157894736842,-29.63157894736842,-0.09295512011712316,57,0.38596491228070173,-35.24561403508772,-0.06897747307123273,57,0.5263157894736842,2.508771929824561,0.004621834932521382,57,0.5263157894736842,39.526315789473685,0.05987979549882756
