signal_id,hour_et,n,wr_5b,avg_5b,sharpe_5b
ABS_04,15,29,0.6551724137931034,289.62068965517244,0.46516581623329434
ABS_04,13,2,0.5,40.5,0.6029015713274773
ABS_04,14,7,0.2857142857142857,-22.571428571428573,-0.25424435970519205
ABS_04,11,1,0.0,-27.0,
ABS_04,12,1,0.0,-42.0,
ABS_04,10,1,0.0,-62.0,
AUCT_03,13,4,0.75,37.75,0.7536571743262707
AUCT_03,11,5,0.6,30.0,0.5261134148018916
AUCT_03,14,10,0.8,25.9,0.2557735880031745
AUCT_03,15,4,0.5,17.0,0.2850541309023908
AUCT_03,10,7,0.42857142857142855,6.428571428571429,0.11423355886185738
AUCT_03,12,14,0.35714285714285715,-15.785714285714286,-0.37726487981209633
AUCT_03,9,2,0.5,-32.0,-0.30577590537796645
DELT_01,15,12998,0.5006924142175719,4.6964148330512385,0.017107562172334022
DELT_01,12,12631,0.49750613569788615,0.09397514052727417,0.001000403504362904
DELT_01,13,11900,0.49521008403361344,0.06697478991596639,0.0006073540499471049
DELT_01,11,14203,0.5024994719425474,-0.17531507428008167,-0.0017048340207068606
DELT_01,9,8534,0.5057417389266463,-0.5557768924302788,-0.003530937554018551
DELT_01,14,11577,0.4831130690161527,-1.1680919063660706,-0.012959760435458264
DELT_01,10,15576,0.4964689265536723,-1.4620570107858244,-0.010597433985775983
DELT_04,15,3169,0.5209845377090565,5.743136636162827,0.02580217554930948
DELT_04,13,3224,0.5018610421836228,2.3824441687344913,0.023001865738068606
DELT_04,11,3221,0.5159888233467868,2.044396150263893,0.02112539142417261
DELT_04,12,3296,0.4993932038834951,0.6817354368932039,0.007813904780913058
DELT_04,9,1243,0.49557522123893805,-1.4698310539018504,-0.00967223084711939
DELT_04,14,3280,0.47804878048780486,-1.8942073170731708,-0.02488813758277978
DELT_04,10,3236,0.4969097651421508,-3.102904820766378,-0.021932990386562965
EXH_01,11,8154,0.5112828059847927,3.271523178807947,0.0328961067058249
EXH_01,9,3493,0.5073003149155454,2.2078442599484682,0.01399625881323205
EXH_01,14,8470,0.5059031877213696,1.7297520661157024,0.02072249163966816
EXH_01,12,8505,0.5126396237507349,1.4088183421516756,0.015463363786379908
EXH_01,10,7963,0.5018209217631546,0.7734522165013186,0.005856849043173323
EXH_01,13,8254,0.49224618366852435,-0.667312818027623,-0.0062467906841256115
EXH_01,15,7600,0.49526315789473685,-3.828684210526316,-0.016908904110721202
EXH_03,9,4611,0.5042290175666884,2.259813489481674,0.014796464357360001
EXH_03,11,9819,0.5111518484570731,2.1831143700987883,0.022576280725974868
EXH_03,10,9840,0.5057926829268292,1.4534552845528455,0.011436713313859391
EXH_03,13,9483,0.49741642939997893,1.1655594221238006,0.01134478048333026
EXH_03,14,9700,0.500618556701031,0.5756701030927835,0.007091442925668315
EXH_03,12,9811,0.5110590153908878,0.5515237998165324,0.006243637325552917
EXH_03,15,9450,0.4962962962962963,0.2980952380952381,0.0011912192264923024
EXH_04,10,64,0.59375,29.015625,0.2528962841690472
EXH_04,9,29,0.5862068965517241,12.379310344827585,0.09270088621437692
EXH_04,14,97,0.4020618556701031,0.7319587628865979,0.007480777662831052
EXH_04,15,44,0.5,-0.7272727272727273,-0.00771279748356404
EXH_04,12,78,0.5512820512820513,-4.217948717948718,-0.05810428187598127
EXH_04,13,88,0.4431818181818182,-8.5,-0.09413371625230033
EXH_04,11,66,0.4090909090909091,-13.893939393939394,-0.13147947536903265
EXH_05,11,4337,0.5044961955268619,3.7237721927599723,0.03939594427105591
EXH_05,12,4249,0.5045893151329724,3.044481054365733,0.03393053801563368
EXH_05,14,4117,0.5078940976439155,1.6140393490405636,0.019742752105101853
EXH_05,10,4235,0.48642266824085006,0.9907910271546635,0.00799810816374107
EXH_05,13,4178,0.5021541407371948,-0.05696505505026329,-0.0005780346201032362
EXH_05,15,4069,0.4811993118702384,-3.8373064635045466,-0.015623353039007963
EXH_05,9,1949,0.4720369420215495,-4.561313494099538,-0.029594505082556916
TRAP_04,15,3431,0.5033517924803265,12.91664237831536,0.03146946669871192
TRAP_04,9,132,0.5454545454545454,11.340909090909092,0.07883945573127366
TRAP_04,10,686,0.4839650145772595,4.091836734693878,0.01949661266854955
TRAP_04,13,1549,0.4751452550032279,0.47837314396384767,0.003442321399976165
TRAP_04,12,1330,0.4932330827067669,-0.7466165413533835,-0.006190476018786811
TRAP_04,14,1742,0.4833524684270953,-1.0797933409873708,-0.011233128293626007
TRAP_04,11,1094,0.4789762340036563,-3.7321755027422303,-0.03921305792834274
VOLP_06,15,32,0.5625,104.15625,0.17184381535039914
