score_tier,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
TYPE_B,43207,0.4859586534943286,0.8032263290670493,0.0044357044852612335,43192,0.4861187339919502,0.15014354510094463,0.0005685244433666571,43192,0.48849707281375776,-0.23050564919429525,-0.0006964050764992775,43192,0.48655323819978047,-0.5445221337284682,-0.0014975486042984822,43192,0.4899377972923527,-1.6631089090572329,-0.003690027907952569
QUIET,1047323,0.4852580447571972,-0.1735873269277959,-0.004232524082550953,1047323,0.49226364296804886,-0.06950577806464672,-0.0007146086004073876,1047311,0.49310883510681236,-0.21421048762020067,-0.0015588130410728802,1047290,0.4932094984401932,-0.3238291208738745,-0.001840079744009797,1047163,0.49276885894312994,-0.847515620777281,-0.003216666936703816
TYPE_C,648789,0.4887694251769263,-0.2838796588721449,-0.005135124418618246,648748,0.49103512212733796,-0.7124707898906818,-0.004166096257367118,648687,0.49319373009292267,-0.8295402867638784,-0.0033400257190299657,648644,0.49307287252433213,-0.559709177915775,-0.0018457047420995484,648547,0.4926797029657529,-0.6131953428201811,-0.0014527936355173236
TYPE_A,16751,0.48209415391912724,-4.785147155393708,-0.013858409277032158,16751,0.48428791651843944,-7.397588203689332,-0.01832115235583611,16751,0.48434720739950193,-8.350128350546235,-0.01661786659133067,16751,0.4855330250207518,-6.210912781326488,-0.011204407844623065,16751,0.49140282224593856,-6.199271685272521,-0.00945551718187587
