signal_id,interaction,n,wr_5b,avg_5b,sharpe_5b
ABS_04,adjacent_bar,7,0.5714285714285714,207.71428571428572,0.38226162071649394
ABS_04,same_bar,41,0.5365853658536586,199.78048780487805,0.36915133908201153
ABS_04,same_or_adjacent,41,0.5365853658536586,199.78048780487805,0.36915133908201153
AUCT_03,adjacent_bar,1,0.0,-41.0,
AUCT_03,no_absorption_nearby,41,0.5853658536585366,5.7073170731707314,0.10043157192956308
AUCT_03,same_bar,4,0.25,48.75,0.34942645562091357
AUCT_03,same_or_adjacent,5,0.2,30.8,0.24191897071494312
DELT_01,adjacent_bar,1215,0.46584362139917695,9.157201646090535,0.03376466223366174
DELT_01,no_absorption_nearby,85479,0.4972917324723031,-0.05052703003076779,-0.00034332352042864786
DELT_01,same_bar,768,0.5390625,18.908854166666668,0.0672047851671912
DELT_01,same_or_adjacent,1940,0.4927835051546392,12.277319587628867,0.04629166088826822
DELT_04,adjacent_bar,445,0.48314606741573035,-0.7056179775280899,-0.0033906999708858327
DELT_04,no_absorption_nearby,20013,0.5019237495627842,0.8298106230949882,0.006407690711341136
DELT_04,same_bar,228,0.5175438596491229,6.035087719298246,0.03705963739334798
DELT_04,same_or_adjacent,656,0.49390243902439024,0.038109756097560975,0.0002001753129522072
EXH_01,adjacent_bar,690,0.4971014492753623,-2.8347826086956522,-0.012585538151008583
EXH_01,no_absorption_nearby,51558,0.5036463788354862,0.5048101167617053,0.003881563514946435
EXH_01,same_bar,220,0.5227272727272727,39.986363636363635,0.14977528503348228
EXH_01,same_or_adjacent,881,0.5017026106696936,7.431328036322361,0.03183846904437298
EXH_03,adjacent_bar,859,0.49825378346915017,-4.006984866123399,-0.01530780072710514
EXH_03,no_absorption_nearby,61650,0.503779399837794,0.9750040551500405,0.0072734088440512285
EXH_03,same_bar,238,0.5630252100840336,80.19327731092437,0.23638349656373686
EXH_03,same_or_adjacent,1064,0.5075187969924813,10.257518796992482,0.03678731120422357
EXH_04,adjacent_bar,34,0.47058823529411764,13.088235294117647,0.07986289681927472
EXH_04,no_absorption_nearby,425,0.48,-0.3058823529411765,-0.0033354689120376566
EXH_04,same_bar,13,0.7692307692307693,54.30769230769231,0.3021937158767856
EXH_04,same_or_adjacent,41,0.5121951219512195,9.536585365853659,0.06091730667120621
EXH_05,adjacent_bar,355,0.49577464788732395,-32.650704225352115,-0.11609871179404617
EXH_05,no_absorption_nearby,26650,0.4962101313320825,0.8878424015009381,0.006755435915578391
EXH_05,same_bar,148,0.46621621621621623,30.37162162162162,0.10431009780263055
EXH_05,same_or_adjacent,484,0.4855371900826446,-17.512396694214875,-0.0629235756197301
TRAP_04,adjacent_bar,569,0.45694200351493847,-4.715289982425308,-0.012309956682151185
TRAP_04,no_absorption_nearby,8581,0.4886376879151614,3.9099172590607156,0.015379821479171602
TRAP_04,same_bar,882,0.5351473922902494,15.343537414965986,0.052602230209267915
TRAP_04,same_or_adjacent,1383,0.5032537960954447,6.402024584237165,0.020726310944468283
VOLP_06,adjacent_bar,4,0.5,-25.5,-0.14155384718987699
VOLP_06,no_absorption_nearby,26,0.5769230769230769,154.84615384615384,0.2392121219125952
VOLP_06,same_bar,3,0.6666666666666666,-146.66666666666666,-0.2948085116720783
VOLP_06,same_or_adjacent,6,0.5,-115.5,-0.3461574908415802
