signal_id,category,score_tier,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
ABS_01,absorption,QUIET,1,1.0,61.0,,1,0.0,-1382.0,,1,0.0,-1187.0,,1,0.0,-1406.0,,1,0.0,-1651.0,
ABS_01,absorption,TYPE_C,1,0.0,-19.0,,1,1.0,8.0,,1,1.0,68.0,,1,1.0,155.0,,1,1.0,304.0,
ABS_03,absorption,QUIET,316,0.4810126582278481,-1.2088607594936709,-0.025299649419536607,316,0.4588607594936709,-0.12025316455696203,-0.0005253530011857667,316,0.4462025316455696,-3.8765822784810124,-0.014975668978160406,316,0.44936708860759494,0.36075949367088606,0.0012468301676781073,316,0.46835443037974683,7.949367088607595,0.020806497402775837
ABS_03,absorption,TYPE_A,51,0.6078431372549019,39.68627450980392,0.21711275028190466,51,0.37254901960784315,-32.21568627450981,-0.09912546418870276,51,0.37254901960784315,-66.33333333333333,-0.12598695177025618,51,0.35294117647058826,-98.09803921568627,-0.1764827667873906,51,0.27450980392156865,-112.76470588235294,-0.16758560015655258
ABS_03,absorption,TYPE_B,29,0.3793103448275862,142.41379310344828,0.22512315047782203,29,0.5172413793103449,61.0,0.09032289739259201,29,0.4827586206896552,26.24137931034483,0.03688605834396181,29,0.4827586206896552,59.241379310344826,0.08367963263080383,29,0.5517241379310345,62.793103448275865,0.07931679610628102
ABS_03,absorption,TYPE_C,462,0.46320346320346323,-5.6017316017316015,-0.0983387894073205,462,0.4653679653679654,-21.266233766233768,-0.08006698284761572,460,0.487012987012987,-15.673913043478262,-0.04129837809282961,460,0.47186147186147187,-38.29782608695652,-0.0823414766951943,460,0.4523809523809524,-50.52391304347826,-0.08361774478378745
ABS_04,absorption,QUIET,3,0.6666666666666666,28.666666666666668,0.5652148631820643,3,0.0,-43.666666666666664,-2.4867939488715467,3,0.6666666666666666,21.0,0.4157804504628181,3,0.6666666666666666,72.0,0.8237856859613525,3,0.6666666666666666,-7.0,-0.15249857033260467
ABS_04,absorption,TYPE_A,7,0.2857142857142857,-48.857142857142854,-0.7434975864360651,7,0.14285714285714285,-199.71428571428572,-1.1673961617369764,7,0.2857142857142857,-207.71428571428572,-0.8989133162873455,7,0.14285714285714285,-205.57142857142858,-0.9048378963798768,7,0.2857142857142857,-209.0,-0.5405059943442444
ABS_04,absorption,TYPE_B,16,0.625,13.25,0.19850252237134788,16,0.6875,347.375,0.5177559352904041,16,0.6875,349.4375,0.44926054999497506,16,0.625,272.875,0.3508719288841024,16,0.5,167.5625,0.18956329392919302
ABS_04,absorption,TYPE_C,15,0.7333333333333333,9.2,0.3295577344522395,15,0.6666666666666666,277.46666666666664,0.5941663296412162,15,0.7333333333333333,274.6,0.6057296051367017,15,0.7333333333333333,261.26666666666665,0.5793456405131827,15,0.6666666666666666,268.46666666666664,0.543149500783241
