signal_id,category,primary_window,n_1b,n_5b,n_10b,n_15b,n_30b,wr_1b,wr_5b,wr_10b,wr_15b,wr_30b,avg_1b,avg_5b,avg_10b,avg_15b,avg_30b,sharpe_1b,sharpe_5b,sharpe_10b,sharpe_15b,sharpe_30b
DELT_07,delta,5,3,3,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,-22.333333333333332,453.3333333333333,370.6666666666667,467.6666666666667,550.6666666666666,-0.6528279811123248,0.5636376210594801,0.5239387013171721,0.5754650661878253,0.5778685307173016
ABS_04,absorption,5,41,41,41,41,41,0.6097560975609756,0.5365853658536586,0.6341463414634146,0.5853658536585366,0.5365853658536586,2.292682926829268,199.78048780487805,202.90243902439025,172.2439024390244,127.41463414634147,0.03993553201629725,0.3691513390820115,0.3432425998244713,0.2958875729399474,0.19423463561194185
VOLP_06,volume_profile,5,32,32,32,32,32,0.5625,0.5625,0.59375,0.59375,0.59375,108.71875,104.15625,152.53125,192.9375,101.875,0.18423347060491774,0.17184381535039914,0.22765805883971874,0.26249888026203166,0.2024840106125215
AUCT_03,auction,5,46,46,46,46,46,0.5217391304347826,0.5434782608695652,0.4782608695652174,0.45652173913043476,0.5434782608695652,-0.10869565217391304,8.434782608695652,3.847826086956522,6.369565217391305,35.30434782608695,-0.0027562438156891835,0.12753996825789551,0.03747337718952605,0.06486282208092653,0.16382463362816443
TRAP_04,trapped,5,9967,9964,9959,9959,9959,0.4828451043338684,0.49046950240770465,0.4896669341894061,0.4897672552166934,0.49518459069020865,-0.0990267884017257,4.2558209554395825,1.696154232352646,3.184054623958229,3.075007530876594,-0.0007073568339226784,0.016214146258398957,0.004912279294330858,0.008256547484180865,0.006452506398194421
EXH_03,exhaustion,5,62715,62714,62713,62710,62699,0.4917245997831494,0.5038267746667517,0.5005899610944575,0.5002870081000064,0.5014828751833663,0.3354859284062824,1.1324903530312211,0.16290083395787158,1.216408866209536,3.297548605240913,0.005369843773658023,0.008219422498863246,0.0008428322394369204,0.005152542855145566,0.009833175235061768
DELT_04,delta,5,20670,20669,20668,20667,20666,0.4934932997919791,0.5016206279328528,0.502539790044023,0.5049102607517778,0.5063615693483624,0.31204644412191584,0.8046833422032996,-0.5159667118250435,0.7804712827212464,3.313897222491048,0.00502979629722867,0.006102529342279875,-0.002755848301693141,0.003364548098221679,0.010145621149680402
EXH_01,exhaustion,5,52439,52439,52438,52436,52425,0.48995976277198267,0.5036137226110338,0.4979118594938881,0.49793092927019966,0.5016495356509468,0.09018097217719637,0.6211788935715784,-1.0834509325298447,-0.6951331146540545,-1.6368144969003338,0.0016130753539515966,0.004689680746166941,-0.005671288751679313,-0.0029536317454605084,-0.004813378004169358
EXH_04,exhaustion,5,466,466,466,466,466,0.5064377682403434,0.48283261802575106,0.5042918454935622,0.4892703862660944,0.463519313304721,1.6609442060085837,0.5600858369098712,6.266094420600858,-7.317596566523605,13.665236051502147,0.034794948327145546,0.005662216846953668,0.041285250129227374,-0.03429514091551202,0.03861443800327096
EXH_05,exhaustion,5,27134,27134,27133,27132,27128,0.49476671334856637,0.4960197538144026,0.4972727942802388,0.5008107908896587,0.5029483305078499,0.13322768482346872,0.5596299845212648,-0.03471787122691925,1.4277605779153766,2.3809348274845177,0.0022577049351208993,0.004131314998880502,-0.0001796917356876922,0.005921670609400025,0.007002312158432059
DELT_01,delta,5,87423,87419,87414,87411,87404,0.4845808931185944,0.4971632503660322,0.49747209004392384,0.4967285871156662,0.49622529282576866,-0.4291891149926221,0.22305219689083608,0.1907245978904981,0.43778243012893114,-0.48215184659740973,-0.006145281640945082,0.0014790840545741942,0.000903164414013906,0.0016982059570200124,-0.0013445320493014146
