signal_id,category,n,win_rate,profit_factor,avg_pnl,net_pnl,sharpe,avg_strength
IMB_04,imbalance,61500,0.0,999.0,0.0,0.0,0.0,0.8170188894308943
IMB_03,imbalance,118235,0.4949972512369434,0.9950984626025253,-0.9471349431217495,-111984.50000000006,-0.13375386884600987,0.906496172876052
IMB_05,imbalance,60517,0.4979922996843862,0.9943399049609707,-1.0726225688649487,-64911.900000000096,-0.15424804344619278,0.9092427367516565
IMB_07,imbalance,60512,0.49687665256478053,0.9891827118429583,-2.0864192226335274,-126253.40000000001,-0.29857419840046895,0.4310946589106293
IMB_08,imbalance,122050,0.4936501433838591,0.9865877591109936,-2.581155264235968,-315029.9999999999,-0.36679952641906266,0.9638395575583776
IMB_09,imbalance,53265,0.4947714258894208,0.9844975489785074,-2.9939078193935997,-159470.5000000001,-0.4241651787406044,0.8
IMB_01,imbalance,127219,0.492064864524953,0.9698220463799537,-5.726646963110855,-728538.2999999998,-0.8270982300981831,0.9959286505946439
IMB_06,imbalance,125822,0.49217148034524966,0.9683761163318594,-6.017790211568724,-757170.4,-0.8727230196386363,0.9992624159526952
IMB_02,imbalance,8521,0.5009975355005281,0.9317080858832749,-13.78590541016313,-117469.70000000003,-1.9688104816126344,0.6208191526816101
