cut,bucket,n,wr_5b,wr_15b,avg_return_5b_ticks,delta_wr_5b_pp,delta_wr_15b_pp,delta_avg_return_5b_ticks
volatility_regime,mid_vol,297,0.5016835016835017,0.5050505050505051,16.602693602693602,4.00594749871725,4.120178424961518,20.05430650591941
volatility_regime,low_vol,300,0.43666666666666665,0.43666666666666665,-6.963333333333333,-2.495736002966259,-2.7182054134223255,-3.5117204301075264
volatility_regime,high_vol,299,0.4414715719063545,0.44816053511705684,-21.47826086956522,-2.015245478997474,-1.5688185683833067,-18.02664796633941
price_vs_sma,below_sma50,526,0.45627376425855515,0.4790874524714829,4.6254752851711025,-0.5350262437774089,1.5238731670592975,8.077088188396909
price_vs_sma,above_sma50,373,0.4691689008042895,0.44235924932975873,-14.841823056300267,0.7544874107960287,-2.148947147113117,-11.390210153074461
trend_alignment,against_trend,347,0.4668587896253602,0.4899135446685879,4.0922190201729105,0.5234762929030967,2.606482386769798,7.5438319233987166
trend_alignment,with_trend,552,0.4583333333333333,0.447463768115942,-8.193840579710145,-0.32906933629959223,-1.6384952684947884,-4.7422276764843385
session_half,afternoon_1230_1600,703,0.46372688477951635,0.47083926031294454,-2.3086770981507825,0.2102858083187109,0.6990539512054639,1.142935805075024
session_half,morning_0930_1230,196,0.45408163265306123,0.4387755102040816,-7.551020408163265,-0.7542394043268008,-2.5073210596808284,-4.099407504937458
vwap_position,mid_vwap,299,0.46153846153846156,0.49498327759197325,18.906354515050168,-0.008556515786767305,3.1134556791083345,22.357967418275976
vwap_position,near_vwap,300,0.4533333333333333,0.44666666666666666,-12.903333333333334,-0.8290693362995927,-1.7182054134223246,-9.451720430107528
vwap_position,far_vwap,300,0.47,0.45,-16.283333333333335,0.8375973303670736,-1.384872080088989,-12.831720430107529
prior_move_bucket,large_gt150,422,0.4834123222748815,0.4597156398104265,-0.9075829383886256,2.1788295578552273,-0.4133080990463389,2.544029964837181
prior_move_bucket,small_lt50,185,0.43243243243243246,0.42162162162162165,-5.891891891891892,-2.919159426389678,-4.222709917926826,-2.4402789886660856
prior_move_bucket,medium_50_150,285,0.4456140350877193,0.49473684210526314,-7.28421052631579,-1.6009991608609941,3.088812130437324,-3.8325976230899834
prior_delta_relation,opposite_to_signal,319,0.49843260188087773,0.4702194357366771,24.021943573667713,3.6808575184548498,0.6370714935787225,27.47355647689352
prior_delta_relation,same_as_signal,579,0.44041450777202074,0.46113989637305697,-18.620034542314336,-2.12095189243085,-0.27088244278329343,-15.16842163908853
prior_delta_sign,negative,474,0.4620253164556962,0.48945147679324896,13.19831223628692,0.04012897593669851,2.560275599235906,16.649925139512728
prior_delta_sign,positive,424,0.45990566037735847,0.4363207547169811,-22.108490566037737,-0.17183663189707654,-2.752796608390878,-18.65687766281193
