score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
40,0,8,24,0.5,60,276,0.7898550724637681,10.15368021885272,550.9381190055137,18.836743681336916,89.90486817493507,24813.74361628208
40,0,8,24,0.7,15,328,0.7378048780487805,8.20202890501136,716.730685766961,14.007588209078428,64.5828631934535,21183.17912745275
40,0,8,24,0.7,30,287,0.7665505226480837,9.643206381560491,686.0793313655449,17.09938740145647,82.51538207851463,23681.9146565337
40,0,8,24,0.7,60,276,0.7898550724637681,10.15368021885272,550.9381190055137,18.836743681336916,89.90486817493507,24813.74361628208
40,0,8,32,0.3,15,329,0.7386018237082067,9.272910176138577,726.8768645339878,13.888325207647112,74.37092081667393,24468.032948685723
40,0,8,32,0.3,30,273,0.7582417582417582,11.402570921140315,696.2255101325718,17.331362486415923,100.71541597528933,27495.308561253987
40,0,8,32,0.3,60,262,0.7748091603053435,12.277837287629572,598.6344769781135,19.22102500740861,112.0073151006033,29345.91655635806
40,0,8,32,0.5,15,328,0.7378048780487805,9.322289707189924,716.730685766961,13.936057342977294,74.62859490077058,24478.17912745275
40,0,8,32,0.5,30,272,0.7573529411764706,11.180765332645823,686.0793313655449,17.327184182119687,100.93917183831255,27455.454740021014
40,0,8,32,0.5,60,259,0.7837837837837838,12.199941719905873,550.9381190055137,19.516322299845907,113.50996095996057,29399.079888629785
40,0,8,32,0.7,15,328,0.7378048780487805,9.322289707189924,716.730685766961,13.936057342977294,74.62859490077058,24478.17912745275
40,0,8,32,0.7,30,272,0.7573529411764706,11.180765332645823,686.0793313655449,17.327184182119687,100.93917183831255,27455.454740021014
40,0,8,32,0.7,60,259,0.7837837837837838,12.199941719905873,550.9381190055137,19.516322299845907,113.50996095996057,29399.079888629785
40,0,8,40,0.3,15,329,0.7386018237082067,10.23821697470345,726.8768645339878,13.592871561056697,83.0487323668259,27323.032948685723
40,0,8,40,0.3,30,265,0.7547169811320755,12.975907560218193,696.2255101325718,17.132709080598367,116.83190507733593,30960.454845494023
40,0,8,40,0.3,60,249,0.7630522088353414,14.12110994236116,598.6344769781135,19.19004571663356,133.97126341106744,33358.844589355795
40,0,8,40,0.5,15,328,0.7378048780487805,10.292955743675448,716.730685766961,13.637680363309105,83.3328631934535,27333.17912745275
40,0,8,40,0.5,30,264,0.7537878787878788,12.717236668620728,686.0793313655449,17.141147129030816,117.12348872826155,30920.60102426105
40,0,8,40,0.5,60,246,0.7723577235772358,14.024986278968761,550.9381190055137,19.50724340504041,135.82117041312,33412.00792162752
40,0,8,40,0.7,15,328,0.7378048780487805,10.292955743675448,716.730685766961,13.637680363309105,83.3328631934535,27333.17912745275
40,0,8,40,0.7,30,264,0.7537878787878788,12.717236668620728,686.0793313655449,17.141147129030816,117.12348872826155,30920.60102426105
40,0,8,40,0.7,60,246,0.7723577235772358,14.024986278968761,550.9381190055137,19.50724340504041,135.82117041312,33412.00792162752
