trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,r_multiple
478,0.7949790794979079,0.9403457511565619,-1.5376569037656904,21.0,-735.0,-0.017397054068520424,3,2.0,0.5,122.75941422594143,30.686192468619247,0.25
478,0.7322175732217573,0.8922781213438075,-2.696652719665272,19.0,-1289.0,-0.03586456406545219,4,1.5,0.5,92.08786610878661,30.686192468619247,0.3333333333333333
478,0.6485355648535565,0.8476538978183334,-6.880753138075314,34.5,-3289.0,-0.05333527730426731,5,2.0,1.0,122.75941422594143,61.35983263598327,0.5
478,0.5732217573221757,0.8186565272496832,-7.48326359832636,29.5,-3577.0,-0.06914513384209488,6,1.5,1.0,92.08786610878661,61.35983263598327,0.6666666666666666
478,0.50418410041841,0.8153150199960664,-11.786610878661088,4.0,-5634.0,-0.07312836698903692,6,2.0,2.0,122.75941422594143,122.75941422594143,1.0
478,0.6276150627615062,0.8064544887224748,-4.541841004184101,17.0,-2171.0,-0.0693844717983002,5,1.0,0.5,61.35983263598327,30.686192468619247,0.5
478,0.42677824267782427,0.804502633335806,-11.027196652719665,-38.0,-5271.0,-0.08054135072440168,10,1.5,2.0,92.08786610878661,122.75941422594143,1.3333333333333333
478,0.3200836820083682,0.8024090580582992,-8.57949790794979,-35.5,-4101.0,-0.08180039721293589,12,1.0,2.0,61.35983263598327,122.75941422594143,2.0
478,0.5564853556485355,0.7799900092770998,-12.899581589958158,39.5,-6166.0,-0.08550827662991364,6,2.0,1.5,122.75941422594143,92.08786610878661,0.75
478,0.37656903765690375,0.7780312062619874,-8.9581589958159,-31.5,-4282.0,-0.09412150870739967,12,1.0,1.5,61.35983263598327,92.08786610878661,1.5
478,0.1799163179916318,0.7491687616576109,-6.47071129707113,-21.0,-3093.0,-0.09866277393554966,19,0.5,2.0,30.686192468619247,122.75941422594143,4.0
478,0.4790794979079498,0.7482678983833718,-13.225941422594142,-31.0,-6322.0,-0.10458951278859348,10,1.5,1.5,92.08786610878661,92.08786610878661,1.0
478,0.45397489539748953,0.7359138257575758,-9.334728033472803,-24.0,-4462.0,-0.11071133019964352,11,1.0,1.0,61.35983263598327,61.35983263598327,1.0
478,0.2217573221757322,0.7151781191963532,-7.058577405857741,-20.0,-3374.0,-0.12184996804966491,17,0.5,1.5,30.686192468619247,92.08786610878661,3.0
478,0.2698744769874477,0.6653947487962206,-7.705020920502092,-19.0,-3683.0,-0.14879918637566478,15,0.5,1.0,30.686192468619247,61.35983263598327,2.0
478,0.39330543933054396,0.6198785201546108,-7.200836820083682,-15.5,-3442.0,-0.17228750786338948,15,0.5,0.5,30.686192468619247,30.686192468619247,1.0
