family,trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,n_bars,trigger_ticks,trail_ticks
fixed,478.0,0.03347280334728033,1.2012987012987013,0.9728033472803347,-5.0,465.0,0.02917104114260237,64.0,5.0,200.0,40.0,,,,,,,
atr,478.0,0.7949790794979079,0.9403457511565619,-1.5376569037656904,21.0,-735.0,-0.017397054068520424,3.0,,,0.25,2.0,0.5,122.75941422594143,30.686192468619247,,,
time,478.0,0.5146443514644351,0.9015649452269171,-5.2635983263598325,5.0,-2516.0,-0.031244569340282528,6.0,,,,,,,,10.0,,
trailing,478.0,0.18410041841004185,1.3,2.4476987447698746,-10.0,1170.0,0.07461765464497538,20.0,,,,,,,,,30.0,10.0
