trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
478,0.03347280334728033,1.2012987012987013,0.9728033472803347,-5.0,465.0,0.02917104114260237,64,5,200,40.0
478,0.05230125523012552,1.0834437086092714,0.39539748953974896,-5.0,189.0,0.01712908401206306,52,5,100,20.0
478,0.03556485355648536,1.0403470715835141,0.19456066945606695,-5.0,93.0,0.0070746622465854584,64,5,150,30.0
478,0.09414225941422594,1.0200923787528868,0.18200836820083682,-10.0,87.0,0.005736584717885083,50,10,100,10.0
478,0.06276150627615062,1.0044642857142858,0.02092050209205021,-5.0,10.0,0.0010770989930063096,52,5,75,15.0
478,0.056485355648535567,0.9915742793791574,-0.0794979079497908,-10.0,-38.0,-0.0018604693577570636,64,10,200,20.0
478,0.06485355648535565,0.9868008948545861,-0.12343096234309624,-10.0,-59.0,-0.0032443567162234515,64,10,150,15.0
478,0.5543933054393305,0.9640989183974001,-1.4790794979079498,75.0,-707.0,-0.017710406510954402,6,100,75,0.75
478,0.1297071129707113,0.9572115384615385,-0.5585774058577406,-15.0,-267.0,-0.014769173292739916,50,15,100,6.666666666666667
478,0.08786610878661087,0.9548929663608563,-0.6171548117154811,-15.0,-295.0,-0.012312752157663837,52,15,200,13.333333333333334
478,0.1589958158995816,0.945273631840796,-0.6903765690376569,-15.0,-330.0,-0.020955443129197362,25,15,75,5.0
478,0.1108786610878661,0.9352941176470588,-0.5753138075313807,-10.0,-275.0,-0.021534094248603256,30,10,75,7.5
478,0.48535564853556484,0.9352682301821625,-2.430962343096234,-35.5,-1162.0,-0.03304680809949726,7,75,75,1.0
478,0.09623430962343096,0.9316358024691358,-0.9267782426778243,-15.0,-443.0,-0.020767712371061547,52,15,150,10.0
478,0.4874476987447699,0.9231561967918273,-3.587866108786611,-11.0,-1715.0,-0.038436761616366964,7,100,100,1.0
478,0.3598326359832636,0.9163317500913409,-3.8326359832635983,-75.0,-1832.0,-0.039882420500260855,11,75,150,2.0
478,0.3389121338912134,0.9079749183078689,-4.359832635983263,-75.0,-2084.0,-0.04194651626056452,13,75,200,2.6666666666666665
478,0.4205020920502092,0.9067448386450191,-3.8933054393305437,-75.0,-1861.0,-0.04729020715562168,7,75,100,1.3333333333333333
478,0.4205020920502092,0.9061976549413735,-4.920502092050209,-66.0,-2352.0,-0.04562410905123022,8,100,150,1.5
478,0.1192468619246862,0.8960807600950119,-1.8305439330543933,-20.0,-875.0,-0.035993387565353294,51,20,150,7.5
478,0.39539748953974896,0.8897996705864327,-6.018828451882845,-100.0,-2877.0,-0.05186705031702624,8,100,200,2.0
478,0.26359832635983266,0.8859848484848485,-2.518828451882845,-30.0,-1204.0,-0.05464078248332288,19,30,75,2.5
478,0.15271966527196654,0.8732098765432099,-2.1485355648535567,-20.0,-1027.0,-0.05064033492019689,49,20,100,5.0
478,0.17364016736401675,0.8729113924050633,-3.1506276150627617,-30.0,-1506.0,-0.051226708985036375,31,30,150,5.0
478,0.16108786610878661,0.8724023275145469,-3.211297071129707,-30.0,-1535.0,-0.04774917971442172,31,30,200,6.666666666666667
478,0.6255230125523012,0.8696324491495182,-4.585774058577406,50.0,-2192.0,-0.06514027352647542,5,100,50,0.5
478,0.10460251046025104,0.869392523364486,-2.3389121338912133,-20.0,-1118.0,-0.04212078139287646,51,20,200,10.0
478,0.3682008368200837,0.8600199401794616,-4.405857740585774,-50.0,-2106.0,-0.07365750636641517,11,50,75,1.5
478,0.18619246861924685,0.8579691516709511,-2.311715481171548,-20.0,-1105.0,-0.06244736387158847,25,20,75,3.75
478,0.5606694560669456,0.8574306322698031,-4.589958158995816,50.0,-2194.0,-0.07487075514838845,7,75,50,0.6666666666666666
478,0.2112970711297071,0.8414677276746242,-3.7510460251046025,-30.0,-1793.0,-0.07274940718931594,31,30,100,3.3333333333333335
478,0.2594142259414226,0.8343010018214936,-6.089958158995816,-50.0,-2911.0,-0.07819685543644547,16,50,150,3.0
478,0.24267782426778242,0.8271371326803205,-6.497907949790795,-50.0,-3106.0,-0.07722402919174637,16,50,200,4.0
478,0.7238493723849372,0.8263693961023338,-4.52928870292887,30.0,-2165.0,-0.08023668148876072,5,100,30,0.3
478,0.6673640167364017,0.814124487004104,-4.548117154811716,30.0,-2174.0,-0.09274249185238279,5,75,30,0.4
478,0.3054393305439331,0.8127045702509396,-6.464435146443515,-50.0,-3090.0,-0.09717616577461272,11,50,100,2.0
478,0.19456066945606695,0.8051948051948052,-2.3535564853556483,-15.0,-1125.0,-0.09137188152799317,21,15,50,3.3333333333333335
478,0.13807531380753138,0.8009708737864077,-1.715481171548117,-10.0,-820.0,-0.08279178905974201,25,10,50,5.0
478,0.4435146443514644,0.7913279132791328,-5.799163179916318,-50.0,-2772.0,-0.11696026130274655,10,50,50,1.0
478,0.8368200836820083,0.7902015013828526,-3.3326359832635983,15.0,-1593.0,-0.07958689941614018,5,100,15,0.15
478,0.07322175732217573,0.7900677200902935,-0.9728033472803347,-5.0,-465.0,-0.06782653314876595,52,5,50,10.0
478,0.7405857740585774,0.7730945621314698,-4.347280334728033,20.0,-2078.0,-0.10506761255075359,5,75,20,0.26666666666666666
478,0.7866108786610879,0.7693881727030898,-4.7154811715481175,20.0,-2254.0,-0.09798048331572011,5,100,20,0.2
478,0.3117154811715481,0.7505572441742655,-5.150627615062762,-30.0,-2462.0,-0.13915606613826237,14,30,50,1.6666666666666667
478,0.5523012552301255,0.7388618494945713,-5.836820083682008,30.0,-2790.0,-0.1467995387209114,6,50,30,0.6
478,0.2280334728033473,0.7384823848238482,-4.03765690376569,-20.0,-1930.0,-0.13733400272700694,21,20,50,2.5
