trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,n_bars
478,0.5146443514644351,0.9015649452269171,-5.2635983263598325,5.0,-2516.0,-0.031244569340282528,6,10
478,0.5271966527196653,0.8479101684341859,-10.200836820083682,7.5,-4876.0,-0.0436010088304023,11,15
478,0.48535564853556484,0.7843636014590133,-9.399581589958158,-2.0,-4493.0,-0.05937082876996689,12,5
478,0.5167364016736402,0.8025025524135148,-17.401673640167363,6.0,-8318.0,-0.06755966868960432,6,30
478,0.4707112970711297,0.732299685568687,-5.165271966527197,-3.0,-2469.0,-0.09179956472701555,6,1
478,0.4435146443514644,0.7079478400233117,-8.387029288702928,-4.0,-4009.0,-0.10450729511922081,9,2
478,0.4790794979079498,0.6690586982115827,-12.349372384937238,-2.0,-5903.0,-0.10641070822149973,6,3
