trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple,ratio_choice
901.0,0.4972253052164262,0.987619600770336,-0.44950055493895674,-10.0,-405.0,-0.00613947874394045,9.0,75.0,75.0,1.0,1.0
901.0,0.4184239733629301,0.9330184445061873,-3.4783573806881245,-57.0,-3134.0,-0.03212760167964503,11.0,100.0,150.0,1.5,1.5
901.0,0.36736958934517205,0.9721385170182285,-1.2519422863485017,-75.0,-1128.0,-0.012908609599992104,12.0,75.0,150.0,2.0,2.0
901.0,0.2008879023307436,0.7541666666666667,-1.9644839067702553,-10.0,-1770.0,-0.12250860613203036,28.0,10.0,30.0,3.0,3.0
