family,trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,n_bars,trigger_ticks,trail_ticks
fixed,901.0,0.06659267480577137,1.3976218787158146,1.8557158712541622,-5.0,1672.0,0.07196234184288736,70.0,5.0,100.0,20.0,,,,,,,
atr,901.0,0.7413984461709212,0.9323571091166746,-1.5893451720310765,20.0,-1432.0,-0.023649584791322453,4.0,,,0.3333333333333333,1.5,0.5,89.38845726970034,29.780244173140954,,,
time,901.0,0.4839067702552719,0.8616662237576401,-11.55493895671476,-6.0,-10411.0,-0.048043100632203586,8.0,,,,,,,,30.0,,
trailing,901.0,0.22752497225305215,1.4913793103448276,3.7957824639289677,-10.0,3420.0,0.11460722174229739,20.0,,,,,,,,,20.0,10.0
