trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,r_multiple
901,0.7413984461709212,0.9323571091166746,-1.5893451720310765,20.0,-1432.0,-0.023649584791322453,4,1.5,0.5,89.38845726970034,29.780244173140954,0.3333333333333333
901,0.7880133185349611,0.9017987778638437,-2.532741398446171,21.0,-2282.0,-0.03175033222710365,4,2.0,0.5,119.16870144284128,29.780244173140954,0.25
901,0.5804661487236404,0.8778005247830224,-4.703662597114318,29.0,-4238.0,-0.04893888028807121,5,1.5,1.0,89.38845726970034,59.568257491675915,0.6666666666666666
901,0.6403995560488346,0.8763791245445681,-2.67369589345172,17.0,-2409.0,-0.04678782692343428,8,1.0,0.5,59.568257491675915,29.780244173140954,0.5
901,0.3795782463928968,0.8726639307962564,-4.786903440621532,-31.0,-4313.0,-0.05405370444409171,12,1.0,1.5,59.568257491675915,89.38845726970034,1.5
901,0.4872364039955605,0.8699019584903012,-6.170921198668147,-26.0,-5560.0,-0.05425344082447271,8,1.5,1.5,89.38845726970034,89.38845726970034,1.0
901,0.6437291897891232,0.8623684008299393,-5.963374028856825,34.0,-5373.0,-0.052326939541899056,5,2.0,1.0,119.16870144284128,59.568257491675915,0.5
901,0.41509433962264153,0.8582976400436718,-7.490566037735849,-38.0,-6749.0,-0.060294111805669584,9,1.5,2.0,89.38845726970034,119.16870144284128,1.3333333333333333
901,0.5549389567147613,0.8526545870528874,-8.005549389567147,39.0,-7213.0,-0.05972474965046795,7,2.0,1.5,119.16870144284128,89.38845726970034,0.75
901,0.4827968923418424,0.8355324221522558,-10.029966703662597,-28.0,-9037.0,-0.06932786773723845,8,2.0,2.0,119.16870144284128,119.16870144284128,1.0
901,0.30965593784683687,0.8301061503173841,-7.06992230854606,-36.0,-6370.0,-0.07260576639266851,15,1.0,2.0,59.568257491675915,119.16870144284128,2.0
901,0.4672586015538291,0.8283427014137285,-5.592674805771365,-22.0,-5039.0,-0.07356571420852574,12,1.0,1.0,59.568257491675915,59.568257491675915,1.0
901,0.2297447280799112,0.8223468466327646,-4.148723640399556,-20.0,-3738.0,-0.0729604192419735,24,0.5,1.5,29.780244173140954,89.38845726970034,3.0
901,0.17869034406215317,0.8001075413362011,-4.951165371809101,-22.0,-4461.0,-0.0775700103089567,28,0.5,2.0,29.780244173140954,119.16870144284128,4.0
901,0.2952275249722531,0.7834655878844459,-4.633740288568258,-19.0,-4175.0,-0.09466366928445202,17,0.5,1.0,29.780244173140954,59.568257491675915,2.0
901,0.42508324084350724,0.7192285512910873,-4.863485016648169,-13.0,-4382.0,-0.12867952569868918,11,0.5,0.5,29.780244173140954,29.780244173140954,1.0
