trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,n_bars
58,0.5517241379310345,1.147887323943662,2.896551724137931,4.0,168.0,0.049364983485772555,5,1
58,0.5344827586206896,0.9061488673139159,-3.0,7.0,-174.0,-0.03393756283525109,4,2
58,0.43103448275862066,0.731551655364978,-11.60344827586207,-10.5,-673.0,-0.11038115680734988,5,3
58,0.41379310344827586,0.6721862871927555,-21.844827586206897,-9.0,-1267.0,-0.13853108939244851,8,10
58,0.3793103448275862,0.6273955387998743,-20.448275862068964,-22.5,-1186.0,-0.16619090747828447,6,5
58,0.39655172413793105,0.5685975609756098,-39.03448275862069,-22.5,-2264.0,-0.1936446587144232,7,15
58,0.3275862068965517,0.38336221837088386,-61.3448275862069,-41.0,-3558.0,-0.3195463538591549,8,30
