family,trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,n_bars,trigger_ticks,trail_ticks
fixed,58.0,0.6896551724137931,1.4459259259259258,10.379310344827585,50.0,602.0,0.17860112059718647,6.0,75.0,50.0,0.6666666666666666,,,,,,,
atr,58.0,0.8275862068965517,1.4064220183486238,7.637931034482759,24.0,443.0,0.12813160328156994,2.0,,,0.3333333333333333,1.5,0.5,100.05172413793103,33.36206896551724,,,
time,58.0,0.5517241379310345,1.147887323943662,2.896551724137931,4.0,168.0,0.049364983485772555,5.0,,,,,,,,1.0,,
trailing,58.0,0.4827586206896552,2.8016666666666667,18.637931034482758,-20.0,1081.0,0.3248825272369334,6.0,,,,,,,,,20.0,20.0
