trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple,ratio_choice
58.0,0.5689655172413793,1.32,6.896551724137931,50.0,400.0,0.13805636938774915,6.0,50.0,50.0,1.0,1.0
58.0,0.46551724137931033,1.3064516129032258,3.2758620689655173,-20.0,190.0,0.13020998793906077,6.0,20.0,30.0,1.5,1.5
58.0,0.3620689655172414,1.135135135135135,1.293103448275862,-15.0,75.0,0.05927364998320164,7.0,15.0,30.0,2.0,2.0
58.0,0.29310344827586204,1.2439024390243902,1.7241379310344827,-10.0,100.0,0.09387437329595234,8.0,10.0,30.0,3.0,3.0
